"","subject","Participant_num","Group_L","version","Day","exp_part","phase","Session","block","trials_count","n_trial_session","n_trial_block","set_num","session_type","seq_type","seq_num","stim","stim_size","background","pos_1","pos_2","pos_2_cons","pos_2_inc","RT_fp","RT_1","x_1","y_1","ObjClicked_1","accuracy","ObjClicked_RSI_1","rt_RSI_1","RT_2","x_2","y_2","ObjClicked_2","ObjClicked_RSI_2","rt_RSI_2","aborted","RSI","ITI_corr","ITI_inc","ITI_ab","tar_tmax","timer","timer_rel","timer_end","timer_rel_end","n_times","rt_RSI","laptop","Group","Mouse","DataSave","stim.1","stim.size","psychopyVersion","expName","date","time","frameRate","X","hour","Trials_count","Time","trial_n","trial_number","traj","loc","p1x","p1y","p2x","p2y","p4x","p4y","p5x","p5y"
"11","alex",1,"B","v2","2022-12-13","",NA,1,1,11,10,11,5,"srt","gram",3,"cricket",4.675,"black","loc_4","loc_2","","",0.874363900002209,2.05951609999465,-7.37515625,-2.93729166666667,"target",NA,"loc_6",0.487476900001639,0.403406599994923,0.718359375,3.17674479166667,"target","loc_4",0.308050400002685,"correct",1,3,3,0.1,10,"08:38:37.586838","0:01:16.502446","08:38:42.164051","0:01:21.079659",1,0.308050400002685,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_11DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_11DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"12","alex",1,"B","v2","2022-12-13","",NA,1,1,12,9,12,5,"srt","gram",3,"cricket",4.675,"black","loc_4","loc_2","","",0.691360799995891,0.704387899997528,-7.00799479166667,-2.33067708333333,"target",NA,"loc_5",0.64290980000078,1.00355740000668,-0.255416666666667,4.27822916666667,"target","loc_2",0.691900400001032,"correct",1,3,3,0.1,10,"08:38:45.973985","0:01:24.889593","08:38:49.792089","0:01:28.707697",1,0.691900400001032,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_12DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_12DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"13","alex",1,"B","v2","2022-12-13","",NA,1,1,13,5,13,5,"srt","gram",3,"cricket",4.675,"black","loc_4","loc_2","","",2.05630139999994,0.632647999998881,-6.48119791666667,-2.58609375,"target",NA,"loc_5",1.00088580000011,0.497245899998234,0.558723958333333,4.46979166666667,"target","",0,"correct",1,3,3,0.1,10,"08:38:54.968112","0:01:33.883720","08:38:58.208963","0:01:37.124571",1,1.00088580000011,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_13DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_13DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"14","alex",1,"B","v2","2022-12-13","",NA,1,1,14,1,14,5,"srt","gram",1,"cricket",4.675,"black","loc_1","loc_5","","",0.485684899998887,0.764550699997926,-6.3215625,3.879140625,"target",NA,"loc_5",0.461229099993943,0.966529700002866,1.293046875,-2.28278645833333,"target","loc_2",0.566641599994909,"correct",1,3,3,0.1,10,"08:39:01.815038","0:01:40.730646","08:39:05.658915","0:01:44.574523",1,0.566641599994909,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_14DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_14DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"15","alex",1,"B","v2","2022-12-13","",NA,1,1,15,12,15,5,"srt","gram",1,"cricket",4.675,"black","loc_1","loc_5","","",1.5894638000027,1.10470599999826,-6.49716145833333,3.60776041666667,"target",NA,"",0,0.521586800001387,1.97947916666667,-2.13911458333333,"target","",0,"correct",1,3,3,0.1,10,"08:39:10.370820","0:01:49.286428","08:39:14.114406","0:01:53.030014",1,NA,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_15DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_15DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"16","alex",1,"B","v2","2022-12-13","",NA,1,2,16,20,1,5,"srt","gram",3,"cricket",4.675,"black","loc_4","loc_2","","",1.09090139999898,0.848886600004334,-5.25200520833333,-4.7890625,"target",NA,"",0,0.729519500004244,0.941848958333333,3.48005208333333,"target","loc_5",0.794787400001951,"correct",1,3,3,0.1,10,"08:39:18.334075","0:01:57.249683","08:39:22.021066","0:02:00.936674",1,0.794787400001951,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_16DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_16DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"17","alex",1,"B","v2","2022-12-13","",NA,1,2,17,30,2,5,"srt","gram",2,"cricket",4.675,"black","loc_3","loc_6","","",0.045434200001182,0.819486899999902,6.59294270833333,3.79932291666667,"target",NA,"loc_5",0.971096099994611,1.10148730000219,7.43901041666667,-2.60205729166667,"target","",0,"correct",1,3,3,0.1,10,"08:39:25.188090","0:02:04.103698","08:39:29.222087","0:02:08.137695",1,0.971096099994611,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_17DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_17DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"18","alex",1,"B","v2","2022-12-13","",NA,1,2,18,22,3,5,"srt","gram",1,"cricket",4.675,"black","loc_1","loc_5","","",0.446967800002312,0.769747300000745,-6.38541666666667,4.10263020833333,"target",NA,"",0,0.575651600003766,1.11744791666667,-4.214375,"target","loc_5",0.620106599999417,"correct",1,3,3,0.1,10,"08:39:32.786055","0:02:11.701663","08:39:36.244749","0:02:15.160357",1,0.620106599999417,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_18DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_18DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"19","alex",1,"B","v2","2022-12-13","",NA,1,2,19,18,4,5,"srt","gram",2,"cricket",4.675,"black","loc_3","loc_6","","",1.02997030000552,1.0175745000015,6.88028645833333,4.13455729166667,"target",NA,"loc_5",0.782018500001868,0.61733059999824,7.11973958333333,-2.93729166666667,"target","",0,"correct",1,3,3,0.1,10,"08:39:40.404346","0:02:19.319954","08:39:44.157891","0:02:23.073499",1,0.782018500001868,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_19DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_19DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"20","alex",1,"B","v2","2022-12-13","",NA,1,2,20,24,5,5,"srt","gram",2,"cricket",4.675,"black","loc_3","loc_6","","",0.384732300000906,0.756813899999543,7.135703125,4.10263020833333,"target",NA,"",0,0.649798099999316,7.710390625,-3.22463541666667,"target","",0,"correct",1,3,3,0.1,10,"08:39:47.657203","0:02:26.572811","08:39:51.175832","0:02:30.091440",1,NA,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_20DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_20DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
